Created,Likes,Sentiment,Like Score,NLTK_Compound,Blob Score
2020-09-21,9385.09090909091,1.0,9385.09090909091,425.6162760724745,6064.64038548634
2020-09-22,643.0,1.0,643.0,2884.598977306314,6605.285847794641
2020-09-25,5171.133333333333,0.8666666666666667,5122.466666666666,624.7036393315184,6182.095187503703
2020-09-30,2888.625,1.0,2888.625,1440.8868293256655,5816.388199383524
2020-10-05,10356.6,0.8,10260.6,1071.1296715336857,5842.4930522206405
2020-10-09,3979.2,0.8,3751.5,1577.1442426409235,5980.254673900926
2020-10-14,10989.2,0.8,10832.2,1630.8252970855783,6018.424724789978
2020-10-20,6665.2,1.0,6665.2,1559.6786364101272,6006.211757224977
2020-10-23,10522.636363636364,0.8181818181818182,10484.818181818182,1145.1646951646837,6175.923273398733
2020-10-24,1840.0,1.0,1840.0,682.9886789480403,6548.970045538238
2020-10-29,3939.6666666666665,0.8333333333333334,2381.0,809.7620112328252,6232.151745265968
2020-11-04,6089.555555555556,0.5555555555555556,5940.666666666667,839.1710099596811,6191.686956382267
2020-12-17,67476.0,1.0,67476.0,1845.1899288535594,6804.753448222297
2020-12-18,2845.6923076923076,1.0,2845.6923076923076,2673.350757630493,6408.2137193025565
2020-12-22,2694.5882352941176,1.0,2694.5882352941176,1329.7233826096547,5862.307122385133
2020-12-25,5535.75,1.0,5535.75,3766.8756394724355,6453.983740426279
2020-12-26,3368.0,0.0,3273.5,3209.745454309633,6389.008330138594
2020-12-30,3969.0526315789475,1.0,3969.0526315789475,2061.712076685345,5956.272593696834
2021-01-04,10188.272727272728,0.8181818181818182,10161.0,1438.6008896866354,6283.26491825681
2021-01-06,1236.1875,1.0,1236.1875,1464.3112894469696,6315.754331643625
2021-01-08,3957.25,0.8,3880.25,2164.887577022271,5920.336293538716
2021-01-12,4975.3125,0.75,4923.6875,992.4060199198751,6253.335797827109
2021-01-14,6842.8,0.8,6798.8,1475.8694112173491,6499.2188291125385
2021-01-16,2086.2727272727275,0.8181818181818182,1940.2727272727273,2009.443681568182,6563.630205400466
