Created,Likes,Sentiment,Like Score,NLTK_Compound,Blob Score
2020-09-21,8153.2,1.0,8153.2,486.5580658646853,2243.710547365923
2020-09-22,2807.3636363636365,0.8181818181818182,1620.4545454545455,-105.05907186165707,2184.185996912534
2020-09-25,5336.222222222223,1.0,5336.222222222223,178.68744350456492,2323.1479935865113
2020-09-30,1085.8095238095239,0.5238095238095238,857.6190476190476,842.2034037463285,2465.7891261911977
2020-10-05,3386.1666666666665,1.0,3386.1666666666665,600.6974306113465,2478.756170498389
2020-10-09,4103.954545454545,0.7272727272727273,2921.7727272727275,15.805250831687628,2227.2257128316414
2020-10-14,3197.0555555555557,1.0,3197.0555555555557,335.10830170117066,2283.843887551793
2020-10-20,6815.761904761905,0.8095238095238095,6811.0,341.2759391557933,2189.1709705765666
2020-10-23,2757.0,1.0,2757.0,636.6698769295782,2204.191867001246
2020-10-24,2769.285714285714,1.0,2769.285714285714,1158.421380773023,2150.560263261041
2020-10-29,1897.076923076923,0.5384615384615384,1676.7692307692307,304.4006464376783,2353.2951447626024
2020-11-04,2952.3,1.0,2952.3,228.76822452940314,2350.886480302429
2020-11-09,6395.125,0.875,6308.625,-377.9880668618814,2234.3101933955404
2020-11-12,1884.4705882352941,0.6470588235294118,1564.5882352941176,341.5043701726313,2238.8262271318335
2020-11-17,3760.75,0.9,3730.15,581.9660872306401,2415.6488891566264
2020-11-20,3616.3684210526317,0.7894736842105263,3470.684210526316,577.4083445613509,2324.2326435574937
2020-11-25,2664.733333333333,0.8666666666666667,2027.2666666666667,400.70063653604774,2242.8236604492645
2020-11-30,4903.307692307692,0.8461538461538461,4796.846153846154,625.8139647960446,2429.6623759422164
2020-12-03,3191.8,0.7,3014.3,298.7007486841999,2351.2000166222897
2020-12-08,1712.7333333333333,0.8666666666666667,1611.4,653.9871235393833,2468.282137744836
2020-12-10,3694.6,0.8,3381.5,611.5424650774114,2292.045697863755
2020-12-15,1481.2857142857142,0.6190476190476191,1062.2380952380952,396.2190375390378,2071.4754387554995
2020-12-17,2096.5,1.0,2096.5,1189.8536560386458,2129.283633664197
2020-12-18,1129.5,0.875,1043.0,930.815602361356,2142.832589668079
2020-12-22,2517.0,0.8260869565217391,2390.0434782608695,223.13359278073534,2088.5356875481716
2020-12-25,2564.4615384615386,0.8461538461538461,2255.5384615384614,1475.605036041061,2366.8655795024874
2020-12-26,4141.833333333333,0.6666666666666666,4006.8333333333335,800.813879028798,2248.2437868523302
2020-12-30,5733.266666666666,0.7333333333333333,5686.2,145.40178105104516,2296.4487241948727
2021-01-04,2283.4166666666665,1.0,2283.4166666666665,674.0237870163061,2421.1162532983103
2021-01-06,2783.08,1.0,2783.08,683.8354430728663,2390.1521058758553
2021-01-08,2957.2,0.8,2878.1,370.85231700256463,2304.5944421153895
2021-01-12,6038.45,0.6,5800.95,411.1214419708423,2497.141976854297
2021-01-14,5415.64705882353,0.8823529411764706,3008.470588235294,157.31282692902036,2451.905116093979
2021-01-16,3345.2105263157896,0.7894736842105263,3313.6315789473683,584.9356904495324,2348.168493082693
