,NLTK_Compound,Blob Score,TSLA
2020-01-02,0.2123,0.6672464431987191,430.24
2020-01-03,0.09917142857142858,0.7026940642150129,442.75
2020-01-06,-0.2167,0.7744331838462187,451.4001
2020-01-07,0.15628666666666666,0.6920782738054957,469.17
2020-01-08,0.07020769230769229,0.6617895476973881,492.09
2020-01-09,-0.037316666666666665,0.6600267970731682,481.49
2020-01-10,0.12644444444444444,0.6014551417667942,477.96
2020-01-13,0.017188888888888896,0.6278684922133684,524.85
2020-01-14,-0.016878260869565214,0.6216840205030099,538.0
2020-01-15,-0.06458333333333334,0.6333392582021873,518.505
2020-01-16,-0.012285714285714292,0.6110364302468932,513.49
2020-01-17,0.07096874999999997,0.7115040965889844,510.19
2020-01-21,0.05058000000000002,0.7646585364465852,547.3007
2020-01-22,0.14616071428571428,0.6979119675730555,569.43
2020-01-23,-0.0999,0.6883052773450988,571.9422
2020-01-24,0.06602000000000001,0.6517202318679559,564.96
2020-01-27,0.09137999999999999,0.6373030721158758,557.54
2020-01-28,-0.011466666666666672,0.659665680051626,566.82
2020-01-29,0.056753333333333336,0.7470731880524782,581.0
2020-01-30,0.0236904761904762,0.6313762244645396,640.93
2020-01-31,0.08328823529411765,0.6388962728071751,650.48
2020-02-03,0.0894341463414634,0.6775248955556229,780.28
2020-02-04,0.046934210526315794,0.670258713226706,887.72
2020-02-05,0.023159523809523814,0.7095534442079017,734.72
2020-02-06,0.10507586206896552,0.6948847840094979,748.5
2020-02-07,0.04316842105263158,0.6723092025916685,747.9808
2020-02-10,0.2457555555555556,0.6679479907063206,770.8467
2020-02-11,0.09383333333333332,0.8082974950240309,774.02
2020-02-12,-0.07842,0.7726553631046347,767.44
2020-02-13,0.0485,0.7624240797345642,803.86
2020-02-14,0.19195714285714288,0.8362543392331042,799.9724
2020-02-18,0.18327142857142856,0.6604147368206765,858.66
2020-02-19,-0.10918999999999998,0.6846343453874868,916.96
2020-02-20,0.13621666666666668,0.6567596623607991,899.18
2020-02-21,0.21041250000000006,0.7162724899130214,901.0
2020-02-24,0.09505,0.5814253005465828,833.16
2020-02-25,0.046833333333333324,0.6869638344227964,799.11
2020-02-26,0.09176000000000001,0.5442051439998659,778.8
2020-02-27,-0.000577777777777782,0.6706997032568558,678.85
2020-02-28,-0.0548,0.7128599508732987,667.43
2020-03-02,-0.0258,0.7252650338262725,743.69
2020-03-03,0.028800000000000013,0.7281639296228942,745.51
2020-03-04,-0.19958,0.6592386744220194,749.5
2020-03-05,0.0,0.5241780925982996,723.62
2020-03-06,0.0,0.6619489874119224,703.39
2020-03-09,0.05666666666666668,0.6480367383537248,606.46
2020-03-11,0.0,0.7604884318766071,633.905
2020-03-12,0.06525555555555555,0.6099955462430179,556.01
2020-03-13,0.08488333333333335,0.7070319698316775,546.2
2020-03-16,0.1900777777777778,0.6889786847434841,444.9801
2020-03-17,-0.11871,0.7059506543437131,430.0
2020-03-18,0.17207333333333336,0.6899936896367151,361.6
2020-03-19,0.04154761904761905,0.6199778447406514,427.295
2020-03-20,-0.042822222222222206,0.7849793605274616,427.53
2020-03-23,-0.145,0.6414145481598774,434.29
2020-03-24,0.17684999999999998,0.7035477322743375,504.3
2020-03-25,-0.187475,0.7416531462742286,539.175
2020-03-26,0.1593166666666667,0.6607259712039809,528.05
2020-03-27,-0.098625,0.712659049948088,514.56
2020-03-30,0.2287,0.5379844482561951,502.1
2020-03-31,0.11333333333333336,0.5323100134949436,524.48
2020-04-01,-0.10206666666666668,0.6108508617370599,481.58
2020-04-02,0.16988,0.5963022615144323,454.47
2020-04-03,0.0036857142857142852,0.5890691915902353,480.0
2020-04-06,0.23835,0.7174075488199319,516.24
2020-04-07,-0.2997,0.6478355522006995,545.47
2020-04-08,0.12765,0.761409154084917,548.7
2020-04-09,0.0,0.7099137731736926,573.01
2020-04-13,0.05655,0.5782334064371217,650.9899
2020-04-14,-0.01906315789473684,0.6742067643153286,709.755
2020-04-15,-0.0011416666666666658,0.6649962356610767,729.5254
2020-04-16,-0.02897500000000001,0.6871544583693024,745.6545
2020-04-17,0.07224,0.5227043323666429,753.65
2020-04-20,0.40992,0.5515218542693103,746.35
2020-04-21,0.054950000000000006,0.7089765691027197,686.72
2020-04-22,-0.13753999999999994,0.7153690547649393,731.0656
2020-04-23,0.011720000000000008,0.6551581016216627,705.63
2020-04-24,0.0,0.5804936231371188,725.0
2020-04-27,-0.0938,0.7018649569392291,798.92
2020-04-28,0.0911142857142857,0.5937668410996257,769.11
2020-04-29,0.12378571428571428,0.6814867296103279,799.84
2020-04-30,-0.04257692307692308,0.6365674788596539,781.06
2020-05-01,0.13274,0.6928068998100406,701.31
2020-05-04,0.17,0.5637881039978074,761.21
2020-05-05,-0.020071428571428573,0.7077752714725367,768.06
2020-05-06,0.1979375,0.6830186710448931,782.45
2020-05-07,0.17072857142857142,0.6810152957287954,780.215
2020-05-08,0.19354000000000002,0.644493025179839,819.25
2020-05-11,-0.0934,0.6804091956224135,810.48
2020-05-12,-0.09966666666666668,0.6459335725820291,809.21
2020-05-13,0.0,0.6875475620168147,790.62
2020-05-14,-0.11912857142857144,0.6609065654369576,803.04
2020-05-15,-0.12786666666666666,0.742338324745771,799.034
2020-05-18,0.030619999999999998,0.6079598445084043,813.51
2020-05-19,0.0039200000000000025,0.6543434344801096,808.0
2020-05-20,-0.1858,0.6530164494860805,815.46
2020-05-21,0.0,0.6924155751818185,827.75
2020-05-22,-0.0026000000000000103,0.6970568065923902,816.4
2020-05-26,0.2172,0.6823112957996021,818.74
