,NLTK_Compound,Blob Score,PLTR
2020-09-30,0.06256666666666667,0.8580361666312489,9.54
2020-10-01,-0.29286666666666666,0.5819400354560297,9.45
2020-10-02,-0.17,0.9139687606044204,9.19
2020-10-05,0.0,0.8925036543431438,9.03
2020-10-06,0.11414,0.6781941376151704,9.91
2020-10-07,-0.1961,0.7417658924988355,10.0
2020-10-08,0.0,0.8615973741794307,10.0
2020-10-12,0.3612,0.6035446429385087,9.86
2020-10-13,-0.34,0.8092189198128811,9.46
2020-10-14,0.0,0.5587504888495576,9.34
2020-10-15,0.012833333333333344,0.6294039036715636,9.9
2020-10-19,-0.3818,0.6258118831923903,9.56
2020-10-21,0.0,0.6146223888591325,9.2
2020-10-22,0.20095,0.6399861509976442,9.69
2020-10-23,0.14256666666666665,0.5967209435626173,9.48
2020-10-26,-0.4019,0.5406645347778903,9.945
2020-10-27,0.06327999999999999,0.6568907287922005,10.95
2020-10-28,0.0,0.7015027330591685,10.85
2020-10-29,0.0772,0.8696638677409673,10.75
2020-11-03,0.4215,0.8499539028887529,10.5001
2020-11-06,0.42365,0.6732382803669333,13.81
2020-11-09,0.06866111111111113,0.6989944783442219,14.665
2020-11-10,0.00965,0.6332919780922324,13.9881
2020-11-11,0.18604666666666667,0.6350004387920339,15.955
2020-11-12,-0.011623999999999994,0.6708287341073038,14.64
2020-11-13,0.2259625,0.6079518105466608,15.4271
2020-11-16,0.08836923076923077,0.5937754935916779,15.93
2020-11-17,0.08536190476190475,0.6301591825961074,17.84
2020-11-18,0.014318644067796612,0.6748371924529275,17.9
2020-11-19,0.058996666666666676,0.6661319564015031,18.98
2020-11-20,0.13876176470588236,0.6373777166212504,18.14
2020-11-23,0.04309102564102565,0.6666925583942277,21.03
2020-11-24,0.06107799999999997,0.667173507052196,23.85
2020-11-25,0.06641732101616629,0.6606973047787768,29.0201
2020-11-27,0.01818450704225353,0.6477715426872648,27.79
2020-11-30,0.024692741935483868,0.6792110351955682,27.0996
2020-12-01,0.05403384615384617,0.6485622460417583,25.67
2020-12-02,0.08204299065420563,0.6845628913477492,22.455
2020-12-03,0.05968484848484847,0.6964646918691696,24.0
2020-12-04,0.1093128205128205,0.6568009075451037,23.84
2020-12-07,0.05240714285714285,0.6496320440245955,29.0
2020-12-08,0.04986078431372548,0.6748992348982327,28.55
2020-12-09,0.07972962962962964,0.7030579983736293,26.62
2020-12-10,0.1210857142857143,0.6952912773077521,27.0399
2020-12-11,0.07304615384615386,0.6716676022258665,27.16
2020-12-14,0.0056549999999999994,0.6812149850628665,27.24
2020-12-15,0.04679999999999999,0.6511827905033368,26.39
2020-12-16,0.05026451612903226,0.6701480937917116,25.92
2020-12-17,0.1294878787878788,0.6779331577103032,27.2
2020-12-18,0.11504871794871795,0.6611973338586055,26.01
2020-12-21,0.1880214285714286,0.649098660774661,28.48
2020-12-22,0.0517457142857143,0.6723764310178143,28.04
2020-12-23,0.11637037037037035,0.6446324233495332,28.69
2020-12-24,0.201395,0.7356381698674755,27.73
2020-12-28,0.04790769230769231,0.6302215038976821,25.63
2020-12-29,0.012285714285714285,0.6756790357882567,24.65
2020-12-30,0.017420689655172416,0.682146543174047,25.07
2020-12-31,0.1236942307692308,0.6776263182428722,23.54
2021-01-04,0.09209545454545456,0.6589669994903663,23.3383
2021-01-05,0.10212258064516126,0.6785614383787578,24.59
2021-01-06,0.12327619047619046,0.6859566722423949,23.53
2021-01-07,-0.019733333333333332,0.6735393497335047,25.0
2021-01-08,0.13656428571428572,0.714417943202414,25.2
2021-01-11,0.06095384615384615,0.6927120318322785,25.96
2021-01-12,0.2342615384615384,0.6885881992836561,26.18
2021-01-13,0.047305405405405385,0.6768478071124611,25.47
2021-01-14,0.11620645161290324,0.6355334245582998,24.91
2021-01-15,0.13401505376344086,0.6676307706974884,25.645
2021-01-19,-0.05180333333333336,0.7111356855187995,26.62
2021-01-20,0.13699999999999998,0.6942330457355168,26.33
2021-01-21,0.0682969696969697,0.6573176273586151,25.96
2021-01-22,0.1314398550724638,0.6636422124663144,32.515
