Created,NLTK_Compound,Blob Score
2020-09-20,0.3390285714285714,0.807600527334772
2020-09-21,0.14249545454545454,0.7401374316489647
2020-09-22,0.0,0.5
2020-09-24,0.003778571428571425,0.7477126232561819
2020-09-25,0.25639375,0.7224433792357888
2020-09-30,0.005573333333333343,0.7025882818423459
2020-10-05,0.09961333333333332,0.7280074913623028
2020-10-09,0.09531333333333333,0.7185953005609423
2020-10-14,-0.05327666666666668,0.6747277572741512
2020-10-20,0.08479666666666666,0.6922041714372708
2020-10-23,0.263764,0.7427267957521214
2020-10-24,0.11857999999999999,0.6516628912971927
2020-10-29,0.11760333333333332,0.7272563064148005
2020-11-04,0.005890000000000014,0.716679775322048
2020-11-09,0.07559666666666666,0.6581561028024334
2020-11-12,0.02620666666666667,0.6065951370388046
2020-11-17,0.19584333333333337,0.6920724032192129
2020-11-20,0.11516666666666667,0.6350268945440086
2020-11-25,0.15541,0.7913836564050225
2020-11-30,0.10419666666666667,0.740898149893592
2020-12-03,-0.01995333333333334,0.6441495981028098
2020-12-08,0.09124666666666667,0.716544568651726
2020-12-10,0.29154,0.7162727799346423
2020-12-15,0.14944666666666664,0.709373051341233
2020-12-18,0.1956133333333333,0.7498709147096475
2020-12-22,0.11773333333333333,0.6648416436427351
2020-12-25,0.13994,0.7068732507062508
2020-12-26,0.22944,0.7844815490659538
2020-12-30,0.1203833333333333,0.6934172476522302
2021-01-04,0.04565000000000001,0.6334876702834309
2021-01-06,0.05620666666666666,0.7012703079962307
2021-01-08,0.2134033333333333,0.6913472088710553
2021-01-12,0.22912000000000007,0.752580235817282
2021-01-14,0.14873333333333333,0.7330543418592727
2021-01-16,0.19938666666666668,0.6634501779482509
