Created,NLTK_Compound,Blob Score
2020-09-21,-0.01277222222222222,0.7453625974680835
2020-09-22,-0.04547499999999999,0.7048811962318992
2020-09-25,0.08919666666666666,0.7203806440740336
2020-09-30,0.06449666666666669,0.6918867341443224
2020-10-05,0.10669333333333332,0.6885292511160427
2020-10-09,0.10387666666666666,0.7068031913189116
2020-10-14,0.23825333333333334,0.6721766454617101
2020-10-20,0.06162,0.6828681353782395
2020-10-24,0.20497666666666664,0.7260236800466798
2020-10-29,0.13200333333333333,0.6652995499955947
2020-11-04,0.10595666666666669,0.7220066695765602
2020-11-09,0.18266333333333334,0.673685651286031
2020-11-12,0.17796666666666666,0.7035213129799742
2020-11-17,0.10524666666666668,0.6359097308928686
2020-11-20,0.001360000000000013,0.7414595679430995
2020-11-25,-0.006756666666666656,0.691101800807829
2020-11-30,0.06238666666666665,0.7041995975162385
2020-12-03,0.11610333333333336,0.6984125564568303
2020-12-08,0.011103333333333328,0.6976804914950132
2020-12-10,0.2832,0.7108939542504568
2020-12-15,0.15321333333333334,0.6706428316026768
2020-12-18,0.21150000000000002,0.6890099894351721
2020-12-22,-0.007009999999999998,0.6367726097177869
2020-12-25,0.085925,0.7196216032810245
2020-12-26,0.36811153846153843,0.7444697160903478
2020-12-30,0.14081333333333332,0.7055001305928693
2021-01-04,0.1155566666666667,0.6270076791820786
2021-01-06,0.14092333333333332,0.7264619462711831
2021-01-08,0.25159,0.6611101447399105
2021-01-12,0.13401666666666667,0.6898345670122573
2021-01-14,0.16569,0.7077374726076118
2021-01-16,0.05742333333333333,0.7506329565704206
