Text,Created,Likes,Sentiment
$OSTK $FCEL $PLUG $LMND $NIO Call holders here are about to lose everything. And the dumbest gamblers of all will do this one thing: KEEP BUYING ON THE WAY DOWN.,2021-01-16T16:50:26Z,253,
$FCEL although I have shares still going to load 2022 calls.,2021-01-16T16:44:59Z,70,{'basic': 'Bullish'}
@edwardj55 &quot;analysts&quot; just wanted cheaper shares $fcel,2021-01-16T16:36:04Z,453,{'basic': 'Bullish'}
$BAC $NFLX $UAL $FCEL $INTC 🤙,2021-01-16T16:33:30Z,2251,
$FCEL wait now.u dont think them analsyt r writing all these dw grades to help us make money.or just maybe they trying 2 be slick like a fox if they know something big coming wouldt they try get price dw so they can fill there pockets up with cheap shrs.so next time if u guys want to be slick.try being slicker then a 6 yr old.,2021-01-16T16:32:27Z,844,{'basic': 'Bullish'}
$FCEL iam from al.and the power compay got something big cooking here i think fcel got a big project here with ala power .who knows,2021-01-16T16:26:46Z,844,{'basic': 'Bullish'}
$FCEL From 2 to 20.  Sure looks like Greased Lightning to me!!!  LOL,2021-01-16T16:13:46Z,1790,{'basic': 'Bullish'}
"$FCEL This is just part of the journey for the long term investors during the growth and expansion of the company. We will see newer highs and then higher lows as the result. Day and swing traders will cause the stock price to fluctuate all along the way. If you are in this for the long haul, this price retraction is merely just a minor bump in the road along the way. We will be seeing newer highs before you know it. Hydrogen fuel will be a major fuel source in our future and this stock will only go higher and higher. Hold tight and enjoy the ride! 💚💚💚",2021-01-16T16:07:38Z,2340,{'basic': 'Bullish'}
"$HYSR 🙌🏻
$PLUG $FCEL $BSRC $JKS",2021-01-14T11:38:10Z,2482,{'basic': 'Bullish'}
"$FCEL you all do know with all the stimulus money being spent on Covid that there isn&#39;t going to be any left for green energy.
Just becareful.",2021-01-14T11:37:52Z,35,
$FCEL this is great! Pullbacks are healthy 💪🏻,2021-01-14T11:37:13Z,795,
"$ZOM I pull my half shares from $FCEL And invest here on $ZOM because I know fcel going no up anytime soon they dropping now , $ZOM is new fcel so I m taking advantage bought more and keep adding until I can I have believing we will see $5.00 to $10 before Truforma commercial this is big deal pets life saving device and chance for us to hit the jackpot 🚀🚀🚀🚀🚀🚀🤞🏻",2021-01-14T11:32:42Z,1297,{'basic': 'Bullish'}
$FCEL 100$ eoy,2021-01-14T11:29:48Z,1244,{'basic': 'Bullish'}
$FCEL green by open,2021-01-14T11:28:42Z,198,{'basic': 'Bullish'}
$FCEL,2021-01-14T11:27:57Z,5809,{'basic': 'Bullish'}
$FCEL,2021-01-14T11:27:31Z,2617,{'basic': 'Bullish'}
$FCEL opening green,2021-01-14T11:26:53Z,376,{'basic': 'Bullish'}
$FCEL buying the dip!!!!!,2021-01-14T11:26:46Z,105,{'basic': 'Bullish'}
$FCEL plug down as well,2021-01-14T11:25:24Z,217,
$FCEL downgraded to Underweight by JP Morgan,2021-01-14T11:25:04Z,63,
$FCEL noooooo. Stay cheap to buy at open 😳,2021-01-14T11:25:04Z,5058,
$FCEL https://www.cnbc.com/2021/01/14/us-bonds-treasury-yields-move-ahead-of-biden-stimulus-announcement.html,2021-01-14T11:24:56Z,547,{'basic': 'Bullish'}
