Created,NLTK_Compound,Blob Score
2020-09-22,0.19349000000000002,0.6885866165110933
2020-09-25,0.09836333333333333,0.6936704659543721
2020-09-30,0.05956333333333332,0.663462021364931
2020-10-05,0.13848,0.7139541250693753
2020-10-09,0.07093,0.6953299907988083
2020-10-14,0.13700333333333334,0.720697933677488
2020-10-20,0.05605333333333333,0.6762386398282387
2020-10-24,0.17681333333333335,0.7074872443446663
2020-10-29,0.17974999999999997,0.7371989097911218
2020-11-04,0.24278666666666668,0.6996613278720539
2020-11-09,0.016356666666666672,0.6605013449151163
2020-11-12,0.03794666666666666,0.7086982042702282
2020-11-17,0.13378000000000004,0.7104844554208232
2020-11-20,0.13891333333333333,0.7067553179306995
2020-11-25,0.22377,0.7154366375958061
2020-11-30,0.03916000000000001,0.6266455274216985
2020-12-03,0.14126999999999998,0.6908220331579946
2020-12-08,0.12761666666666666,0.716089814566325
2020-12-10,0.03775,0.7072044289017668
2020-12-15,0.20045666666666667,0.714571552210386
2020-12-18,0.18319000000000002,0.7306368872779021
2020-12-22,0.06644666666666667,0.6188547077157863
2020-12-26,0.4396333333333333,0.7581594232394745
2020-12-30,0.10973999999999999,0.7469060245050254
2021-01-04,0.034216666666666666,0.7035328924125991
2021-01-06,0.16394666666666666,0.7221288198056163
2021-01-08,0.2462166666666667,0.7326813551632845
2021-01-12,0.14744666666666667,0.6627384814633708
2021-01-14,0.14193666666666668,0.7379500056599195
2021-01-16,0.11750999999999999,0.6475594874672231
