Created,NLTK_Compound,Blob Score
2020-09-21,0.05523600000000001,0.7870621852715088
2020-09-22,0.3743600000000001,0.8572265432505637
2020-09-25,0.08107333333333336,0.8023053369293799
2020-09-30,0.18699666666666664,0.7548442967120963
2020-10-05,0.13901,0.7582321550539268
2020-10-09,0.20468,0.7761107028513717
2020-10-14,0.21164666666666673,0.7810643689807861
2020-10-20,0.20241333333333336,0.7794793838325548
2020-10-23,0.14861818181818184,0.8015043528818524
2020-10-24,0.08863750000000001,0.8499179419862055
2020-10-29,0.10509,0.8088016205068568
2020-11-04,0.10890666666666667,0.8035501458701126
2020-12-17,0.2394666666666667,0.8831132233345412
2020-12-18,0.34694444444444444,0.8316507448110905
2020-12-22,0.17256999999999997,0.760803602719663
2020-12-25,0.48886086956521735,0.8375907265009811
2020-12-26,0.4165571428571429,0.8291582910787054
2020-12-30,0.2675666666666666,0.7729983355463026
2021-01-04,0.18670000000000003,0.8154350304163064
2021-01-06,0.19003666666666671,0.8196514698212893
2021-01-08,0.2809566666666667,0.7683345630659575
2021-01-12,0.12879333333333334,0.8115508629420026
2021-01-14,0.19153666666666666,0.84346128526281
2021-01-16,0.2607833333333333,0.8518205209891104
