Created,PLTR,NLTK_Compound,Blob Score
2020-08-25,,0.0,0.5
2020-09-21,,0.14909999999999998,0.6875587233719723
2020-09-22,,-0.03219411764705881,0.6693181245714408
2020-09-25,,0.02737833333333334,0.7784753951465211
2020-09-29,,-0.27115,0.5695293470725294
2020-09-30,9.54,0.16032500000000002,0.8068241300222398
2020-10-01,9.45,-0.29286666666666666,0.5819400354560297
2020-10-02,9.19,-0.17,0.9139687606044204
2020-10-05,9.03,0.09203833333333336,0.8260446730310966
2020-10-06,9.91,0.11414,0.6781941376151704
2020-10-07,10.0,-0.1961,0.7417658924988355
2020-10-08,10.0,0.0,0.8615973741794307
2020-10-09,9.97,0.0048433333333333314,0.682507139601198
2020-10-12,9.86,0.3612,0.6035446429385087
2020-10-13,9.46,-0.34,0.8092189198128811
2020-10-14,9.34,0.051345,0.6293038012855269
2020-10-15,9.9,0.012833333333333344,0.6294039036715636
2020-10-19,9.56,-0.3818,0.6258118831923903
2020-10-20,9.3,0.10457999999999998,0.6708457111545271
2020-10-21,9.2,0.0,0.6146223888591325
2020-10-22,9.69,0.20095,0.6399861509976442
2020-10-23,9.48,0.16883333333333334,0.6360848159311021
2020-10-26,9.945,-0.4019,0.5406645347778903
2020-10-27,10.95,0.06327999999999999,0.6568907287922005
2020-10-28,10.85,0.0,0.7015027330591685
2020-10-29,10.75,0.08523999999999998,0.795401751432284
2020-11-03,10.5001,0.4215,0.8499539028887529
2020-11-04,10.72,0.07010333333333336,0.7204015282126122
2020-11-06,13.81,0.42365,0.6732382803669333
2020-11-09,14.665,-0.02358444444444445,0.6918362868695773
2020-11-10,13.9881,0.00965,0.6332919780922324
2020-11-11,15.955,0.18604666666666667,0.6350004387920339
2020-11-12,14.64,0.046513000000000006,0.6784453574783288
2020-11-13,15.4271,0.2259625,0.6079518105466608
2020-11-16,15.93,0.08836923076923077,0.5937754935916779
2020-11-17,17.84,0.13184928571428572,0.6852031948736845
2020-11-18,17.9,0.014318644067796612,0.6748371924529275
2020-11-19,18.98,0.058996666666666676,0.6661319564015031
2020-11-20,18.14,0.15785088235294117,0.6748057449339764
2020-11-23,21.03,0.04309102564102565,0.6666925583942277
2020-11-24,23.85,0.06107799999999997,0.667173507052196
2020-11-25,29.0201,0.09460366050808315,0.6739921260400599
2020-11-27,27.79,0.01818450704225353,0.6477715426872648
2020-11-30,27.0996,0.1082330376344086,0.7118762553248326
2020-12-01,25.67,0.05403384615384617,0.6485622460417583
2020-12-02,22.455,0.08204299065420563,0.6845628913477492
2020-12-03,24.0,0.0756090909090909,0.7084811498007582
2020-12-04,23.84,0.1093128205128205,0.6568009075451037
2020-12-07,29.0,0.05240714285714285,0.6496320440245955
2020-12-08,28.55,0.12513372549019608,0.7156376411988898
2020-12-09,26.62,0.07972962962962964,0.7030579983736293
2020-12-10,27.0399,0.15424285714285715,0.6988308696952692
2020-12-11,27.16,0.07304615384615386,0.6716676022258665
2020-12-14,27.24,0.0056549999999999994,0.6812149850628665
2020-12-15,26.39,0.08410833333333331,0.6429810446962425
2020-12-16,25.92,0.05026451612903226,0.6701480937917116
2020-12-17,27.2,0.24705227272727281,0.6652135492091729
2020-12-18,26.01,0.20014310897435897,0.6589215964358957
2020-12-21,28.48,0.1880214285714286,0.649098660774661
2020-12-22,28.04,0.06006119047619048,0.6561918213067347
2020-12-23,28.69,0.11637037037037035,0.6446324233495332
2020-12-24,27.73,0.201395,0.7356381698674755
2020-12-28,25.63,0.04790769230769231,0.6302215038976821
2020-12-29,24.65,0.012285714285714285,0.6756790357882567
2020-12-30,25.07,0.03098867816091954,0.6929331304601463
2020-12-31,23.54,0.1236942307692308,0.6776263182428722
2021-01-04,23.3383,0.14932106060606065,0.7004448080581472
2021-01-05,24.59,0.10212258064516126,0.6785614383787578
2021-01-06,23.53,0.1664147619047619,0.7091953449305828
2021-01-07,25.0,-0.019733333333333332,0.6735393497335047
2021-01-08,25.2,0.1251038095238095,0.7103169102279668
2021-01-11,25.96,0.06095384615384615,0.6927120318322785
2021-01-12,26.18,0.18012243589743585,0.7269040026215488
2021-01-13,25.47,0.047305405405405385,0.6768478071124611
2021-01-14,24.91,0.08220655913978496,0.6934454631389516
2021-01-15,25.645,0.13401505376344086,0.6676307706974884
2021-01-19,26.62,-0.05180333333333336,0.7111356855187995
2021-01-20,26.33,0.13699999999999998,0.6942330457355168
2021-01-21,25.96,0.0682969696969697,0.6573176273586151
2021-01-22,32.515,0.1314398550724638,0.6636422124663144
