Created,PLTR,NLTK_Compound,Blob Score
2020-08-25,,0.0,0.5
2020-09-21,,0.14249545454545454,0.7401374316489647
2020-09-22,,0.0,0.5
2020-09-24,,0.003778571428571425,0.7477126232561819
2020-09-25,,0.128196875,0.7837463872580674
2020-09-29,,-0.27115,0.5695293470725294
2020-09-30,9.54,0.03407000000000001,0.7803122242367975
2020-10-01,9.45,-0.29286666666666666,0.5819400354560297
2020-10-02,9.19,-0.17,0.9139687606044204
2020-10-05,9.03,0.049806666666666666,0.8102555728527233
2020-10-06,9.91,0.11414,0.6781941376151704
2020-10-07,10.0,-0.1961,0.7417658924988355
2020-10-08,10.0,0.0,0.8615973741794307
2020-10-09,9.97,0.09531333333333332,0.7185953005609423
2020-10-12,9.86,0.3612,0.6035446429385087
2020-10-13,9.46,-0.34,0.8092189198128811
2020-10-14,9.34,-0.02663833333333334,0.6167391230618544
2020-10-15,9.9,0.012833333333333344,0.6294039036715636
2020-10-19,9.56,-0.3818,0.6258118831923903
2020-10-20,9.3,0.08479666666666666,0.6922041714372708
2020-10-21,9.2,0.0,0.6146223888591325
2020-10-22,9.69,0.20095,0.6399861509976442
2020-10-23,9.48,0.2031653333333333,0.6697238696573693
2020-10-26,9.945,-0.4019,0.5406645347778903
2020-10-27,10.95,0.06327999999999999,0.6568907287922005
2020-10-28,10.85,0.0,0.7015027330591685
2020-10-29,10.75,0.09740166666666666,0.798460087077884
2020-11-03,10.5001,0.4215,0.8499539028887529
2020-11-04,10.72,0.005890000000000014,0.716679775322048
2020-11-06,13.81,0.42365,0.6732382803669333
2020-11-09,14.665,0.0721288888888889,0.6785752905733277
2020-11-10,13.9881,0.00965,0.6332919780922324
2020-11-11,15.955,0.18604666666666667,0.6350004387920339
2020-11-12,14.64,0.007291333333333338,0.6387119355730542
2020-11-13,15.4271,0.2259625,0.6079518105466608
2020-11-16,15.93,0.08836923076923077,0.5937754935916779
2020-11-17,17.84,0.14060261904761906,0.6611157929076601
2020-11-18,17.9,0.014318644067796612,0.6748371924529275
2020-11-19,18.98,0.058996666666666676,0.6661319564015031
2020-11-20,18.14,0.12696421568627453,0.6362023055826296
2020-11-23,21.03,0.04309102564102565,0.6666925583942277
2020-11-24,23.85,0.06107799999999997,0.667173507052196
2020-11-25,29.0201,0.11091366050808314,0.7260404805918996
2020-11-27,27.79,0.01818450704225353,0.6477715426872648
2020-11-30,27.0996,0.06444470430107527,0.7100545925445801
2020-12-01,25.67,0.05403384615384617,0.6485622460417583
2020-12-02,22.455,0.08204299065420563,0.6845628913477492
2020-12-03,24.0,0.019865757575757564,0.6703071449859896
2020-12-04,23.84,0.1093128205128205,0.6568009075451037
2020-12-07,29.0,0.05240714285714285,0.6496320440245955
2020-12-08,28.55,0.07055372549019608,0.6957219017749794
2020-12-09,26.62,0.07972962962962964,0.7030579983736293
2020-12-10,27.0399,0.20631285714285716,0.7057820286211972
2020-12-11,27.16,0.07304615384615386,0.6716676022258665
2020-12-14,27.24,0.0056549999999999994,0.6812149850628665
2020-12-15,26.39,0.09812333333333331,0.6802779209222849
2020-12-16,25.92,0.05026451612903226,0.6701480937917116
2020-12-17,27.2,0.1294878787878788,0.6779331577103032
2020-12-18,26.01,0.15533102564102563,0.7055341242841264
2020-12-21,28.48,0.1880214285714286,0.649098660774661
2020-12-22,28.04,0.08473952380952382,0.6686090373302747
2020-12-23,28.69,0.11637037037037035,0.6446324233495332
2020-12-24,27.73,0.201395,0.7356381698674755
2020-12-28,25.63,0.04790769230769231,0.6302215038976821
2020-12-29,24.65,0.012285714285714285,0.6756790357882567
2020-12-30,25.07,0.06890201149425286,0.6877818954131386
2020-12-31,23.54,0.1236942307692308,0.6776263182428722
2021-01-04,23.3383,0.06887272727272728,0.6462273348868985
2021-01-05,24.59,0.10212258064516126,0.6785614383787578
2021-01-06,23.53,0.08974142857142856,0.6936134901193127
2021-01-07,25.0,-0.019733333333333332,0.6735393497335047
2021-01-08,25.2,0.1749838095238095,0.7028825760367347
2021-01-11,25.96,0.06095384615384615,0.6927120318322785
2021-01-12,26.18,0.23169076923076926,0.7205842175504691
2021-01-13,25.47,0.047305405405405385,0.6768478071124611
2021-01-14,24.91,0.1324698924731183,0.6842938832087861
2021-01-15,25.645,0.13401505376344086,0.6676307706974884
2021-01-19,26.62,-0.05180333333333336,0.7111356855187995
2021-01-20,26.33,0.13699999999999998,0.6942330457355168
2021-01-21,25.96,0.0682969696969697,0.6573176273586151
2021-01-22,32.515,0.1314398550724638,0.6636422124663144
