Created,TSLA,NLTK_Compound,Blob Score
2020-01-02,430.24,0.2123,0.6672464431987191
2020-01-03,442.75,0.09917142857142858,0.7026940642150129
2020-01-06,451.4001,-0.2167,0.7744331838462187
2020-01-07,469.17,0.15628666666666666,0.6920782738054957
2020-01-08,492.09,0.07020769230769229,0.6617895476973881
2020-01-09,481.49,-0.037316666666666665,0.6600267970731682
2020-01-10,477.96,0.12644444444444444,0.6014551417667942
2020-01-13,524.85,0.017188888888888896,0.6278684922133684
2020-01-14,538.0,-0.016878260869565214,0.6216840205030099
2020-01-15,518.505,-0.06458333333333334,0.6333392582021873
2020-01-16,513.49,-0.012285714285714292,0.6110364302468932
2020-01-17,510.19,0.07096874999999997,0.7115040965889844
2020-01-21,547.3007,0.05058000000000002,0.7646585364465852
2020-01-22,569.43,0.14616071428571428,0.6979119675730555
2020-01-23,571.9422,-0.0999,0.6883052773450988
2020-01-24,564.96,0.06602000000000001,0.6517202318679559
2020-01-27,557.54,0.09137999999999999,0.6373030721158758
2020-01-28,566.82,-0.011466666666666672,0.659665680051626
2020-01-29,581.0,0.056753333333333336,0.7470731880524782
2020-01-30,640.93,0.0236904761904762,0.6313762244645396
2020-01-31,650.48,0.08328823529411765,0.6388962728071751
2020-02-03,780.28,0.0894341463414634,0.6775248955556229
2020-02-04,887.72,0.046934210526315794,0.670258713226706
2020-02-05,734.72,0.023159523809523814,0.7095534442079017
2020-02-06,748.5,0.10507586206896552,0.6948847840094979
2020-02-07,747.9808,0.04316842105263158,0.6723092025916685
2020-02-10,770.8467,0.2457555555555556,0.6679479907063206
2020-02-11,774.02,0.09383333333333332,0.8082974950240309
2020-02-12,767.44,-0.07842,0.7726553631046347
2020-02-13,803.86,0.0485,0.7624240797345642
2020-02-14,799.9724,0.19195714285714288,0.8362543392331042
2020-02-18,858.66,0.18327142857142856,0.6604147368206765
2020-02-19,916.96,-0.10918999999999998,0.6846343453874868
2020-02-20,899.18,0.13621666666666668,0.6567596623607991
2020-02-21,901.0,0.21041250000000006,0.7162724899130214
2020-02-24,833.16,0.09505,0.5814253005465828
2020-02-25,799.11,0.046833333333333324,0.6869638344227964
2020-02-26,778.8,0.09176000000000001,0.5442051439998659
2020-02-27,678.85,-0.000577777777777782,0.6706997032568558
2020-02-28,667.43,-0.0548,0.7128599508732987
2020-03-02,743.69,-0.0258,0.7252650338262725
2020-03-03,745.51,0.028800000000000013,0.7281639296228942
2020-03-04,749.5,-0.19958,0.6592386744220194
2020-03-05,723.62,0.0,0.5241780925982996
2020-03-06,703.39,0.0,0.6619489874119224
2020-03-09,606.46,0.05666666666666668,0.6480367383537248
2020-03-11,633.905,0.0,0.7604884318766071
2020-03-12,556.01,0.06525555555555555,0.6099955462430179
2020-03-13,546.2,0.08488333333333335,0.7070319698316775
2020-03-16,444.9801,0.1900777777777778,0.6889786847434841
2020-03-17,430.0,-0.11871,0.7059506543437131
2020-03-18,361.6,0.17207333333333336,0.6899936896367151
2020-03-19,427.295,0.04154761904761905,0.6199778447406514
2020-03-20,427.53,-0.042822222222222206,0.7849793605274616
2020-03-23,434.29,-0.145,0.6414145481598774
2020-03-24,504.3,0.17684999999999998,0.7035477322743375
2020-03-25,539.175,-0.187475,0.7416531462742286
2020-03-26,528.05,0.1593166666666667,0.6607259712039809
2020-03-27,514.56,-0.098625,0.712659049948088
2020-03-30,502.1,0.2287,0.5379844482561951
2020-03-31,524.48,0.11333333333333336,0.5323100134949436
2020-04-01,481.58,-0.10206666666666668,0.6108508617370599
2020-04-02,454.47,0.16988,0.5963022615144323
2020-04-03,480.0,0.0036857142857142852,0.5890691915902353
2020-04-06,516.24,0.23835,0.7174075488199319
2020-04-07,545.47,-0.2997,0.6478355522006995
2020-04-08,548.7,0.12765,0.761409154084917
2020-04-09,573.01,0.0,0.7099137731736926
2020-04-13,650.9899,0.05655,0.5782334064371217
2020-04-14,709.755,-0.01906315789473684,0.6742067643153286
2020-04-15,729.5254,-0.0011416666666666658,0.6649962356610767
2020-04-16,745.6545,-0.02897500000000001,0.6871544583693024
2020-04-17,753.65,0.07224,0.5227043323666429
2020-04-20,746.35,0.40992,0.5515218542693103
2020-04-21,686.72,0.054950000000000006,0.7089765691027197
2020-04-22,731.0656,-0.13753999999999994,0.7153690547649393
2020-04-23,705.63,0.011720000000000008,0.6551581016216627
2020-04-24,725.0,0.0,0.5804936231371188
2020-04-27,798.92,-0.0938,0.7018649569392291
2020-04-28,769.11,0.0911142857142857,0.5937668410996257
2020-04-29,799.84,0.12378571428571428,0.6814867296103279
2020-04-30,781.06,-0.04257692307692308,0.6365674788596539
2020-05-01,701.31,0.13274,0.6928068998100406
2020-05-04,761.21,0.17,0.5637881039978074
2020-05-05,768.06,-0.020071428571428573,0.7077752714725367
2020-05-06,782.45,0.1979375,0.6830186710448931
2020-05-07,780.215,0.17072857142857142,0.6810152957287954
2020-05-08,819.25,0.19354000000000002,0.644493025179839
2020-05-11,810.48,-0.0934,0.6804091956224135
2020-05-12,809.21,-0.09966666666666668,0.6459335725820291
2020-05-13,790.62,0.0,0.6875475620168147
2020-05-14,803.04,-0.11912857142857144,0.6609065654369576
2020-05-15,799.034,-0.12786666666666666,0.742338324745771
2020-05-18,813.51,0.030619999999999998,0.6079598445084043
2020-05-19,808.0,0.0039200000000000025,0.6543434344801096
2020-05-20,815.46,-0.1858,0.6530164494860805
2020-05-21,827.75,0.0,0.6924155751818185
2020-05-22,816.4,-0.0026000000000000103,0.6970568065923902
2020-05-26,818.74,0.2172,0.6823112957996021
