Created,NIO,NLTK_Compound,Blob Score
2020-11-20,49.25,0.07416387096774193,0.7079336672732541
2020-11-23,55.51,0.016527450980392155,0.6605497274046244
2020-11-24,53.51,-0.011967307692307694,0.645669765738229
2020-11-25,53.69,0.04611229166666668,0.6827890536277667
2020-11-27,54.0,0.02856271186440678,0.6415262609910002
2020-11-30,50.5456,0.018065208333333332,0.717015457732922
2020-12-01,45.36,0.012872222222222224,0.6771034255467057
2020-12-02,47.95,0.06761212121212119,0.686603402571044
2020-12-03,45.34,0.05548500000000001,0.708127241212476
2020-12-04,43.03,0.21822857142857144,0.6444710960058104
2020-12-07,45.11,-0.0007999999999999785,0.7672520051745744
2020-12-08,46.56,0.04477666666666666,0.7031486887915399
2020-12-09,44.01,0.0,0.668742075110281
2020-12-10,45.22,0.19321666666666668,0.668884077425706
2020-12-11,41.98,0.043306666666666674,0.6304289972899527
2020-12-14,41.0,0.05497142857142857,0.7819309023572548
2020-12-15,43.4901,0.13076380952380953,0.6906021897462813
2020-12-16,44.67,0.10238999999999998,0.6536769409545328
2020-12-17,46.025,0.2987,0.6495168250870604
2020-12-18,46.543,0.08335624999999999,0.7098616925753047
2020-12-21,48.98,0.12145,0.668048572021342
2020-12-22,47.6,0.08974500000000003,0.6574323961327211
2020-12-23,47.01,0.02713333333333333,0.6751512394349363
2020-12-24,45.77,0.13865999999999998,0.7523856085835574
2020-12-28,44.055,-0.7531,0.6867125400676068
2020-12-29,46.11,0.08077142857142859,0.7247044808110188
2020-12-30,48.365,0.10440666666666666,0.6914274565420055
2020-12-31,48.74,0.06961666666666666,0.6420530224118267
2021-01-04,53.4816,0.14881833333333333,0.6564235467755252
2021-01-05,53.2,0.0471090909090909,0.6871213292224146
2021-01-06,50.5234,0.027974999999999993,0.7026352985920081
2021-01-07,54.25,-0.03314285714285714,0.7033377728175595
2021-01-08,58.91,0.149485,0.6699884218711336
2021-01-11,62.725,0.1631,0.6943253349669517
2021-01-12,61.94,0.04122675438596491,0.6587011177240772
2021-01-13,62.1301,0.14761363636363636,0.6676136086869104
2021-01-14,60.88,0.13391642857142858,0.7096913694139872
2021-01-15,56.27,0.17312,0.7099639510171443
2021-01-19,58.45,0.37212222222222224,0.6714483151211016
2021-01-20,57.71,0.11408,0.7306224059722339
2021-01-21,58.32,0.19871666666666665,0.6771601172996418
2021-01-22,61.95,0.3527888888888888,0.6806032053676432
