Created,PLUG,NLTK_Compound,Blob Score
2020-12-31,33.92,0.6249,0.7478846176534758
2021-01-04,32.18,0.09335000000000003,0.799369209253328
2021-01-05,32.55,0.64775,0.7633763108680742
2021-01-06,35.0,0.2899683333333334,0.8355733605878651
2021-01-07,47.3,0.17833749999999998,0.7598891062651345
2021-01-08,53.7788,0.20982833333333334,0.7695518066606226
2021-01-11,53.97,0.0,0.7080779256740556
2021-01-12,66.02,0.10778466666666667,0.7877726017171551
2021-01-13,69.495,0.13022,0.8137553562680242
2021-01-14,66.52,0.22211378787878788,0.822839196344348
2021-01-15,60.14,0.07434,0.7749099327987813
2021-01-19,66.43,0.10046666666666666,0.8368601332603784
2021-01-20,62.51,-0.10614444444444444,0.7769738862523612
2021-01-21,63.67,0.07327499999999999,0.7112082180015359
2021-01-22,66.8682,0.1294076923076923,0.740463396540386
