Created,Likes,Sentiment,Like Score,NLTK_Compound,Blob Score
2020-09-21,8153.2,1.0,8153.2,486.55806586468526,2243.7105473659226
2020-09-22,2807.3636363636365,0.8181818181818182,1620.4545454545455,-105.05907186165706,2184.1859969125335
2020-09-25,5336.222222222223,1.0,5336.222222222223,178.6874435045649,2323.147993586511
2020-09-30,1085.8095238095239,0.5238095238095238,857.6190476190476,842.2034037463284,2465.7891261911973
2020-10-05,3386.1666666666665,1.0,3386.1666666666665,600.6974306113464,2478.7561704983887
2020-10-09,4103.954545454545,0.7272727272727273,2921.7727272727275,15.805250831687625,2227.225712831641
2020-10-14,3197.0555555555557,1.0,3197.0555555555557,335.1083017011706,2283.8438875517927
2020-10-20,6815.761904761905,0.8095238095238095,6811.0,341.2759391557933,2189.170970576566
2020-10-23,2757.0,1.0,2757.0,636.6698769295781,2204.1918670012456
2020-10-24,2769.285714285714,1.0,2769.285714285714,1158.4213807730227,2150.5602632610407
2020-10-29,1897.076923076923,0.5384615384615384,1676.7692307692307,304.40064643767823,2353.295144762602
2020-11-04,2952.3,1.0,2952.3,228.7682245294031,2350.8864803024285
2020-11-09,6395.125,0.875,6308.625,-377.98806686188135,2234.31019339554
2020-11-12,1884.4705882352941,0.6470588235294118,1564.5882352941176,341.50437017263124,2238.826227131833
2020-11-17,3760.75,0.9,3730.15,581.96608723064,2415.648889156626
2020-11-20,3616.3684210526317,0.7894736842105263,3470.684210526316,577.4083445613509,2324.2326435574937
2020-11-25,2664.733333333333,0.8666666666666667,2027.2666666666667,400.7006365360477,2242.823660449264
2020-11-30,4903.307692307692,0.8461538461538461,4796.846153846154,625.8139647960446,2429.6623759422164
2020-12-03,3191.8,0.7,3014.3,298.7007486841998,2351.2000166222892
2020-12-08,1712.7333333333333,0.8666666666666667,1611.4,653.9871235393832,2468.2821377448354
2020-12-10,3694.6,0.8,3381.5,611.5424650774113,2292.0456978637544
2020-12-15,1481.2857142857142,0.6190476190476191,1062.2380952380952,396.21903753903774,2071.475438755499
2020-12-17,2096.5,1.0,2096.5,1189.8536560386458,2129.283633664197
2020-12-18,1129.5,0.875,1043.0,930.8156023613559,2142.8325896680785
2020-12-22,2517.0,0.8260869565217391,2390.0434782608695,223.1335927807353,2088.535687548171
2020-12-25,2564.4615384615386,0.8461538461538461,2255.5384615384614,1475.6050360410609,2366.865579502487
2020-12-26,4141.833333333333,0.6666666666666666,4006.8333333333335,800.8138790287979,2248.24378685233
2020-12-30,5733.266666666666,0.7333333333333333,5686.2,145.40178105104513,2296.4487241948723
2021-01-04,2283.4166666666665,1.0,2283.4166666666665,674.023787016306,2421.11625329831
2021-01-06,2783.08,1.0,2783.08,683.8354430728662,2390.152105875855
2021-01-08,2957.2,0.8,2878.1,370.8523170025646,2304.594442115389
2021-01-12,6038.45,0.6,5800.95,411.1214419708422,2497.141976854297
2021-01-14,5415.64705882353,0.8823529411764706,3008.470588235294,157.31282692902033,2451.905116093979
2021-01-16,3345.2105263157896,0.7894736842105263,3313.6315789473683,584.9356904495323,2348.1684930826927
