,NLTK_Compound,Blob Score,GME
2020-01-14,0.0,7.3616278418587475,4.705
2020-01-15,-0.6682943143712226,7.536482814547852,4.6
2020-01-24,-0.8943524739338129,7.90152887378541,4.32
2020-02-06,0.0,10.869086052720235,4.14
2020-02-12,0.0,10.237670262211285,4.19
2020-02-18,0.0,7.898238966651307,4.06
2020-02-20,0.0,5.928098589928057,4.14
2020-02-27,-3.5094343652374103,7.827977646739294,3.47
2020-03-09,5.855775787130935,7.038034506651999,3.71
2020-03-11,0.0,10.246881193742972,4.14
2020-03-17,0.0,9.880164316546757,4.23
2020-03-18,0.17626213140719416,7.6853140655777255,3.78
2020-03-19,0.0,6.886235396426265,4.19
2020-03-20,-0.9733937884661871,8.831731000777287,3.755
2020-03-23,0.0,11.615074119582149,3.81
2020-03-24,0.0,8.589609404135777,4.195
2020-03-25,-0.6088157251856114,7.478498740987564,4.2
2020-03-26,-1.4521470305887767,7.281921878588049,4.405
2020-03-27,0.0,6.767912556834529,4.2101
2020-03-31,0.0,9.522919191180486,3.525
2020-04-01,-1.217631450371223,6.616765430008207,3.25
2020-04-06,5.331731871781295,10.013626839909499,3.08
2020-04-13,0.0,7.631078851060082,4.75
2020-04-14,-1.209162738099897,8.039096478099173,5.93
2020-04-17,0.0,7.4979358967445515,4.87
2020-04-21,0.0,9.326767567009433,4.785
2020-04-23,0.0,6.117501070047757,4.685
2020-04-27,0.0,7.609123337482139,5.82
2020-04-28,6.324688385594244,8.711224432781092,5.62
2020-04-29,5.221469238008632,6.559225413523536,5.99
2020-04-30,5.072081153542445,11.097952011376938,5.73
2020-05-20,0.0,5.928098589928057,4.42
2020-05-27,0.0,7.933816068882341,4.681
2020-06-02,0.0,5.9373902805078815,4.18
2020-06-04,10.504590701352516,10.995579906289317,4.47
2020-06-10,0.0,7.227078565067014,5.06
2020-06-17,0.0,6.025270895656377,4.76
2020-06-18,0.0,6.348005573381293,4.92
2020-07-01,5.072081153542445,10.723863741330545,4.44
2020-08-04,5.185900646469064,8.278507627253344,4.44
2020-08-12,0.0,6.3669670330414165,4.53
2020-08-21,0.0,8.213887581487766,5.04
2020-08-31,1.690693717847482,8.566017076286903,6.69
2020-09-01,2.5360405767712226,8.516177706177585,7.66
2020-09-02,1.705711567608633,6.4692008549453615,7.71
2020-09-03,1.6195565347683452,7.479283022351471,7.81
2020-09-04,0.0,9.30265630988423,7.64
2020-09-08,1.7547171826187051,8.527057497061833,7.69
2020-09-09,-1.285923146127194,8.600198838365394,7.35
2020-09-10,-0.915298422284892,10.163657146986479,6.2282
2020-09-14,2.315515309225899,7.6330469311165,6.91
2020-09-15,-2.6474888302618704,9.515844483020045,7.08
2020-09-16,-0.2262557628489208,7.996776611046536,8.674808
2020-09-17,0.0,6.643566779801077,9.2
2020-09-18,-0.24352629007424456,7.049905858290805,9.45
2020-09-21,2.6806861823654673,8.956276607573871,8.75
2020-09-22,1.690693717847482,8.876207323242422,10.555
2020-09-23,-3.026887140017266,8.837714864843358,10.05
2020-09-24,2.9640492949640285,9.330152299417062,9.1352
2020-09-25,0.0,7.5915645663070395,10.02
2020-09-29,1.4820246474820142,8.744118703047759,10.35
2020-09-30,5.072081153542445,11.097952011376938,10.21
2020-10-01,0.0,7.7499984115053735,9.77
2020-10-02,-7.125574505093524,6.996590470270405,9.39
2020-10-05,4.031107041151079,6.075959664976576,9.45
2020-10-06,8.190261011844603,6.273610109897798,9.14
2020-10-07,-3.2148078653179852,6.7510479256490585,9.35
2020-10-08,0.5011398980703727,7.760064824638856,13.505
2020-10-09,1.053936887974676,8.555332739871883,12.03
2020-10-12,0.1393761846254198,7.286890444879315,11.7903
2020-10-13,-2.0022745797341006,7.58383813194615,11.87
2020-10-14,0.6472001635553958,8.465630880623046,12.25
2020-10-15,0.8028127515410072,7.97852954387844,13.82
2020-10-16,1.2305654836583384,8.39043802712565,13.31
2020-10-19,-2.263348041634532,7.858346335695665,13.91
2020-10-20,0.9378251969266187,8.960191867801166,13.86
2020-10-21,-1.3166306968230215,8.231658259122026,14.095
2020-10-22,1.9833046642463306,8.007437466913657,14.91
2020-10-23,-1.1768122572234323,7.458771251049954,15.03
2020-10-26,2.3663652215750597,8.074428755601874,13.495
2020-10-27,0.17191485910791368,7.962389336120932,12.7
