Created,Three Difference,One Difference,Stock
2020-11-24,1.9443811416625998,2.064721488952637,GME
2020-11-25,1.8362385559082028,1.8496414947509763,GME
2020-11-27,2.489415168762207,2.6706199645996094,GME
2020-11-30,3.795333671569825,3.485967445373536,GME
2020-12-01,3.8146624114990217,3.6476997879028303,GME
2020-12-02,2.5425038909912114,2.361507949829104,GME
2020-12-03,3.0577896499633788,2.8783577346801756,GME
2020-12-04,2.254902000427247,1.860610122680665,GME
2020-12-07,2.757688674926758,2.2486869430541994,GME
2020-12-08,2.075222320556641,1.5702393722534183,GME
2020-12-09,2.6282328796386736,2.2753152084350603,GME
2020-12-10,-0.7611316894531246,-1.1828188156127908,GME
2020-12-11,-0.16900718688964922,-0.6392563629150398,GME
2020-12-14,-0.9788908386230446,-1.4871220016479487,GME
2020-12-15,-1.2935831832885736,-1.7034218597412103,GME
2020-12-16,0.2666665267944328,-0.19422996520996172,GME
2020-12-17,0.9721199035644528,0.7915616989135739,GME
2020-12-18,1.9758320617675764,1.7700033950805665,GME
2020-12-21,2.7732914733886727,2.783217315673829,GME
2020-12-22,2.6036531784057626,2.586177096557618,GME
2020-12-23,6.126294784545898,5.992886238098144,GME
2020-12-24,7.149398880004881,6.845155792236326,GME
2020-12-28,6.456034851074218,5.864047241210937,GME
2020-12-29,6.769026260375977,6.050199012756348,GME
2020-12-30,4.591936225891114,3.842905158996583,GME
2020-12-31,3.9588973617553727,2.6887719726562516,GME
2021-01-04,3.3992286300659167,2.0320363616943347,GME
2021-01-05,1.8005754852294906,0.5664446258544906,GME
2021-01-06,1.9698136901855463,0.7401879882812494,GME
2021-01-07,3.2982469940185553,2.2267938995361334,GME
2021-01-08,3.1157780838012705,2.1438723754882822,GME
2021-01-11,2.9102426361084,1.984435636901857,GME
2021-01-12,5.324510269165039,4.530302696228027,GME
2021-01-13,5.221512260437013,4.383685531616212,GME
2021-01-14,16.576028289794923,15.619344177246095,GME
2021-01-15,24.909163664245604,23.961988638305662,GME
2021-01-19,20.29820178985596,19.029377212524416,GME
2021-01-20,23.783902893066404,21.908027420043943,GME
2021-01-21,22.956885452270505,20.419226760864255,GME
2021-01-22,26.154237289428714,22.58940269470216,GME
