Symbol,MSE (Three-Feature Model),MSE (One-Feature Model)
GME,0.6135905385017395,0.0457133986055851
NIO,0.07604280114173889,0.008770238608121872
PLTR,0.007974415086209774,0.011376907117664814
PLUG,0.9111716747283936,0.014484379440546036
TSLA,0.003235632088035345,0.0015120181487873197
