Created,Three Difference,One Difference,Stock
2020-10-02,-102.259091796875,-64.2714208984375,TSLA
2020-10-05,-138.610715234375,-105.76580556640624,TSLA
2020-10-06,-125.4786376953125,-100.558349609375,TSLA
2020-10-07,-137.25668710937498,-114.09427255859373,TSLA
2020-10-08,-131.445986328125,-104.44140869140625,TSLA
2020-10-09,-131.86454589843748,-102.55802734374998,TSLA
2020-10-12,-126.40041259765627,-87.94087890625002,TSLA
2020-10-13,-128.9530029296875,-82.133056640625,TSLA
2020-10-14,-124.89998779296877,-78.13460693359377,TSLA
2020-10-15,-114.38430908203122,-68.47140624999997,TSLA
2020-10-16,-122.80682861328125,-85.17072021484375,TSLA
2020-10-19,-129.98569091796872,-99.43692382812497,TSLA
2020-10-20,-135.72975341796877,-112.20344726562502,TSLA
2020-10-21,-148.72305419921872,-122.10745361328122,TSLA
2020-10-22,-160.73651123046875,-120.0186767578125,TSLA
2020-10-23,-144.42666015625002,-109.41317138671877,TSLA
2020-10-26,-141.44096923828124,-109.43663574218749,TSLA
2020-10-27,-131.67574951171878,-105.91879150390628,TSLA
2020-10-28,-119.51917333984375,-99.66895361328125,TSLA
2020-10-29,-145.391845703125,-118.2889404296875,TSLA
2020-10-30,-156.5400537109375,-113.02680908203126,TSLA
2020-11-02,-194.79184814453123,-133.33768554687498,TSLA
2020-11-03,-181.1290380859375,-118.39020751953126,TSLA
2020-11-04,-154.03227783203124,-91.48753906249999,TSLA
2020-11-05,-128.28354248046872,-89.4038732910156,TSLA
2020-11-06,-105.55123535156253,-72.72484985351565,TSLA
2020-11-09,-134.01475341796873,-81.84843261718748,TSLA
2020-11-10,-175.137587890625,-99.02253662109376,TSLA
2020-11-11,-208.34189208984372,-116.63547119140622,TSLA
2020-11-12,-209.2932177734375,-110.25177490234375,TSLA
2020-11-13,-190.62632324218748,-116.10612060546873,TSLA
2020-11-16,-147.31692382812503,-116.05074951171878,TSLA
2020-11-17,-140.49642578125003,-110.73482910156253,TSLA
2020-11-18,-106.89063232421876,-74.706611328125,TSLA
2020-11-19,-63.564223632812514,-30.844924316406264,TSLA
2020-11-20,-63.107395019531225,-21.126804199218725,TSLA
2020-11-23,-88.07208496093745,-39.857973632812445,TSLA
2020-11-24,-80.13548095703129,-22.72074707031254,TSLA
2020-11-25,-64.34855712890624,-8.661728515624986,TSLA
2020-11-27,-63.3616943359375,-7.62445068359375,TSLA
2020-11-30,-64.9102783203125,-6.40234375,TSLA
2020-12-01,-95.88108398437498,-38.06986572265623,TSLA
2020-12-02,-88.0762963867187,-38.474123535156195,TSLA
2020-12-03,-107.02263183593755,-68.47331542968755,TSLA
2020-12-04,-85.04531738281253,-49.33968994140628,TSLA
2020-12-07,-75.6650390625,-44.91107177734375,TSLA
2020-12-08,-34.3953857421875,-1.09552001953125,TSLA
2020-12-09,-36.306401367187505,-1.0874072265625045,TSLA
2020-12-10,-94.65324218750004,-53.82591064453129,TSLA
2020-12-11,-84.10170166015621,-44.49019042968746,TSLA
2020-12-14,-102.8870849609375,-70.45843505859375,TSLA
2020-12-15,-65.15213867187504,-47.741921386718786,TSLA
2020-12-16,-50.45902587890623,-50.28782226562498,TSLA
2020-12-17,-51.51005371093754,-53.11259277343754,TSLA
2020-12-18,-34.73197021484373,-26.154943847656227,TSLA
2020-12-21,-32.49522949218749,-18.18291259765624,TSLA
2020-12-22,-82.66091796875003,-41.96987792968753,TSLA
2020-12-23,-92.07253662109372,-53.49782958984372,TSLA
2020-12-24,-84.13871337890623,-51.97983886718748,TSLA
2020-12-28,-71.89004882812503,-43.81027587890628,TSLA
2020-12-29,-63.15083740234377,-40.40596435546877,TSLA
2020-12-30,-47.02183105468748,-34.75883056640623,TSLA
2020-12-31,-16.884421386718714,-7.818747558593714,TSLA
2021-01-04,-23.431784667968714,-4.382895507812464,TSLA
2021-01-05,-18.90728759765625,11.44830322265625,TSLA
2021-01-06,-23.62432128906255,8.36920898437495,TSLA
2021-01-07,-17.487692871093714,17.765603027343786,TSLA
2021-01-08,22.91797851562501,61.42115234375001,TSLA
2021-01-11,57.35275390624997,110.49081542968747,TSLA
2021-01-12,-45.2935717773438,20.07123535156245,TSLA
2021-01-13,-38.01901367187497,36.94143554687503,TSLA
2021-01-14,-50.46641357421879,16.71052734374996,TSLA
2021-01-15,-71.41890624999996,-17.261313476562464,TSLA
2021-01-19,-87.02334960937503,-43.67459472656253,TSLA
2021-01-20,-57.266845703125,-14.1759033203125,TSLA
2021-01-21,-57.08291015625002,-16.736474609375023,TSLA
2021-01-22,-56.50033691406247,-20.581452636718723,TSLA
