Created,Three Difference,One Difference,Stock
2020-12-22,2.1896843719482426,0.8033032226562504,PLTR
2020-12-23,1.5129290008544911,0.5646295928955071,PLTR
2020-12-24,2.0051416778564466,1.1702188873291028,PLTR
2020-12-28,0.3555130767822271,-0.08854438781738239,PLTR
2020-12-29,-1.935549850463868,-2.212214584350587,PLTR
2020-12-30,-3.5782772064208994,-3.6976963043212905,PLTR
2020-12-31,-2.5671421813964836,-3.1514698791503903,PLTR
2021-01-04,-3.9445256805419935,-4.562962493896485,PLTR
2021-01-05,-3.0652301208496087,-4.181402911376953,PLTR
2021-01-06,-0.6859361267089845,-2.2075997924804693,PLTR
2021-01-07,-1.1058032226562453,-2.9384486389160114,PLTR
2021-01-08,0.1809234619140625,-1.3381671905517578,PLTR
2021-01-11,0.5416919708251946,-0.7308357238769538,PLTR
2021-01-12,1.265631637573243,-0.09945205688476476,PLTR
2021-01-13,1.2591740417480466,-0.21144706726074247,PLTR
2021-01-14,0.6487681579589797,-0.9107220458984422,PLTR
2021-01-15,-0.4819391632080077,-1.9807794952392577,PLTR
2021-01-19,-0.4907631683349614,-1.4079975891113286,PLTR
2021-01-20,0.5460349273681651,-0.6059864807128896,PLTR
2021-01-21,0.023508148193361226,-0.8358725738525372,PLTR
2021-01-22,0.2443418121337899,-1.0105295562744132,PLTR
2020-11-24,1.9443811416626,2.064721488952637,GME
2020-11-25,1.8362385559082028,1.8496414947509765,GME
2020-11-27,2.489415168762207,2.6706199645996094,GME
2020-11-30,3.7953336715698254,3.4859674453735363,GME
2020-12-01,3.8146624114990217,3.6476997879028303,GME
2020-12-02,2.5425038909912114,2.361507949829104,GME
2020-12-03,3.0577896499633788,2.878357734680176,GME
2020-12-04,2.254902000427247,1.860610122680665,GME
2020-12-07,2.7576886749267584,2.2486869430542,GME
2020-12-08,2.075222320556641,1.5702393722534185,GME
2020-12-09,2.6282328796386736,2.2753152084350603,GME
2020-12-10,-0.7611316894531246,-1.1828188156127908,GME
2020-12-11,-0.16900718688964922,-0.6392563629150398,GME
2020-12-14,-0.9788908386230446,-1.4871220016479487,GME
2020-12-15,-1.2935831832885736,-1.7034218597412103,GME
2020-12-16,0.2666665267944328,-0.19422996520996166,GME
2020-12-17,0.9721199035644528,0.7915616989135739,GME
2020-12-18,1.9758320617675764,1.7700033950805665,GME
2020-12-21,2.7732914733886727,2.7832173156738294,GME
2020-12-22,2.6036531784057626,2.586177096557618,GME
2020-12-23,6.126294784545897,5.992886238098143,GME
2020-12-24,7.14939888000488,6.8451557922363255,GME
2020-12-28,6.456034851074217,5.864047241210938,GME
2020-12-29,6.769026260375978,6.050199012756348,GME
2020-12-30,4.591936225891113,3.842905158996583,GME
2020-12-31,3.9588973617553727,2.688771972656252,GME
2021-01-04,3.3992286300659167,2.0320363616943347,GME
2021-01-05,1.8005754852294906,0.5664446258544906,GME
2021-01-06,1.9698136901855463,0.7401879882812494,GME
2021-01-07,3.2982469940185557,2.2267938995361334,GME
2021-01-08,3.1157780838012705,2.1438723754882822,GME
2021-01-11,2.9102426361083995,1.984435636901857,GME
2021-01-12,5.324510269165039,4.530302696228027,GME
2021-01-13,5.221512260437013,4.383685531616212,GME
2021-01-14,16.576028289794927,15.619344177246097,GME
2021-01-15,24.909163664245604,23.961988638305662,GME
2021-01-19,20.298201789855963,19.029377212524412,GME
2021-01-20,23.783902893066408,21.908027420043947,GME
2021-01-21,22.9568854522705,20.41922676086425,GME
2021-01-22,26.154237289428714,22.58940269470216,GME
2020-11-13,10.321944232177737,3.906661029052735,NIO
2020-11-16,5.536211993408209,-0.7755288818359389,NIO
2020-11-17,7.129357550048837,0.5720493530273458,NIO
2020-11-18,8.209977819824225,1.7002846740722646,NIO
2020-11-19,6.2127929687500085,-0.6829780578613267,NIO
2020-11-20,9.138128967285157,1.9141871643066397,NIO
2020-11-23,10.40908432006836,3.5042495727539062,NIO
2020-11-24,16.322633514404295,9.182252655029297,NIO
2020-11-25,14.113118896484373,6.8929803466796855,NIO
2020-11-27,14.137147369384765,6.810880126953123,NIO
2020-11-30,13.856281280517578,6.033943176269531,NIO
2020-12-01,10.032534661865236,1.8784857421875003,NIO
2020-12-02,4.380797729492187,-4.192291870117188,NIO
2020-12-03,7.181639862060549,-1.2490623474121063,NIO
2020-12-04,4.617080535888675,-3.715923461914058,NIO
2020-12-07,2.559464721679681,-5.536333770751952,NIO
2020-12-08,5.25060592651367,-2.2593771362304693,NIO
2020-12-09,7.2936730957031335,0.22765594482422105,NIO
2020-12-10,4.601602325439451,-2.482279052734377,NIO
2020-12-11,6.300871582031242,-0.4649403381347668,NIO
2020-12-14,3.2758679199218648,-3.4692034912109406,NIO
2020-12-15,1.924457550048828,-5.0219268798828125,NIO
2020-12-16,4.435813043212889,-2.5151070617675804,NIO
2020-12-17,6.001916809082032,-0.6099186706542952,NIO
2020-12-18,7.476110839843749,0.9337104797363268,NIO
2020-12-21,8.41427685546875,2.269127624511718,NIO
2020-12-22,10.697643737792966,4.418884735107419,NIO
2020-12-23,8.719098663330081,2.0475517272949237,NIO
2020-12-24,7.803342590332029,0.8774316406249979,NIO
2020-12-28,6.3423342895507835,-0.8757061767578094,NIO
2020-12-29,4.422076873779297,-2.9221614074707034,NIO
2020-12-30,6.43323455810546,-1.1620375061035162,NIO
2020-12-31,9.023668518066408,1.5769865417480489,NIO
2021-01-04,9.651598205566408,2.3085997009277364,NIO
2021-01-05,14.644243432617188,7.397604180908202,NIO
2021-01-06,14.122874450683597,7.0640289306640645,NIO
