Text,Created,Likes,Sentiment
$COTY well donald trump got impeached again. might see volume return tomorrow.,2021-01-13T21:24:34Z,23,{'basic': 'Bullish'}
"$LFVN alright I&#39;m ready to spill the beans on my research and why I&#39;m absolutely confident in investing in LifeVantage right now. $COTY $PG $TANH $CL  So check this out: absolute over reaction to CEO leaving back in September &#39;20. Been downhill since then, but the drop seems to be tapering off. We may actually finally, hopefully, be at the bottom of the trough.",2021-01-13T21:09:59Z,11388,{'basic': 'Bullish'}
"Large Print $COTY Size: 254475 Price: 7.15 Time: 1600 Amount: $1,819,496.25",2021-01-13T21:00:04Z,114,
$COTY I’m still long with this French bitch ..$10+ then will sell happily take u home with me,2021-01-13T20:27:32Z,3763,{'basic': 'Bullish'}
$COTY this feels like lunch break not power hour...,2021-01-13T20:25:42Z,23,
$COTY datz wierd $SPY,2021-01-13T20:04:34Z,8913,
$COTY how was there just so much volume early then the big drop and then nothing? Wild,2021-01-13T19:47:01Z,737,
$COTY daaaaaaaaaaaaaaaaady,2021-01-13T19:16:50Z,8913,
$COTY Looking very bullish,2021-01-13T18:53:49Z,81,{'basic': 'Bullish'}
$MVIS $COTY $PEIX $DKNG $ACB Everything seems to be losing steam this afternoon. Lets turn this frown upside down!,2021-01-13T18:41:24Z,278,{'basic': 'Bullish'}
$COTY a 4% day is good but a 6-7% would be even better :),2021-01-13T18:11:22Z,23,{'basic': 'Bullish'}
"$COTY  Great deal with Kylie Jenner, Coty owns 50% stake in Kylie makeup.. we will go up",2021-01-13T17:38:40Z,11,
$COTY the Kim K deal is just the start for people to be aware of the revenue and growth that we will see here. This is a great stock to buy and hold. Hasn&#39;t returned to pre covid numbers and has more excitement around it.,2021-01-13T17:36:24Z,604,{'basic': 'Bullish'}
$COTY sold for profits earlier now buying more on this dip. I love this game!,2021-01-13T17:35:31Z,1335,{'basic': 'Bullish'}
$COTY No rush here to sell...Go read yesterday&#39;s article and see how bullish the wall street clowns are on nabi. biggest take away was they would be willing to sell the rest of wella to kkr which could bring in at least $2B,2021-01-13T17:31:05Z,870,
$COTY those who sold can buy back when I sell @ $30 😂 after ER this going 🚀 🤑,2021-01-13T17:22:36Z,1176,{'basic': 'Bullish'}
$COTY sold a few more at 7:54,2021-01-13T17:21:44Z,332,
$COTY Jesus a 4% drop,2021-01-13T17:16:38Z,737,
$COTY really annoying that this always happens.,2021-01-13T17:14:38Z,3,
$COTY the only company where substantial “insider buying “ leads to a stock descend.,2021-01-12T09:31:33Z,2018,
"$COTY once again, down in PM which usually translates to a down day",2021-01-12T09:29:34Z,2018,
$COTY people talk about 8 bucks a share. If it weren’t for so much fucking manipulation this should be $16 bucks a share NOW given events of last 9 months. Too fucking frustrating. Story of my investing life.,2021-01-12T09:04:20Z,2018,
Short sale volume (not short interest) for $COTY on 2021-01-11 is 49%. http://shortvolumes.com/?t=COTY via @shortvolumes,2021-01-12T07:41:35Z,3,
"$COTY folks don&#39;t get it. The earning is on Feb 3rd. However, the run will start from now. 2 bogus articles on things that you already knew, big buy order from last week till the earning. Tutes loading up and haven&#39;t sold a single share since November, insiders bought in like mad because they KNOW these prices are bargain. 

If you hold the stock all the way from June like I did, it&#39;s ridiculous to sell now. It&#39;s like taking the horse to the final race and quit because some tabloids told you your horse might get a divorce",2021-01-12T05:53:53Z,62,
$COTY should I buy,2021-01-12T02:49:06Z,66,
$COTY Remember there are calls for this to double.  https://investorplace.com/2020/12/4-red-hot-growth-stocks-that-should-double-in-2021/,2021-01-12T01:04:49Z,16,
$COTY $soon,2021-01-12T00:44:07Z,12,{'basic': 'Bullish'}
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-11/,2021-01-11T21:32:06Z,94,
"Large Print $COTY Size: 190077 Price: 6.81 Time: 1600 Amount: $1,294,424.37",2021-01-11T21:00:03Z,114,
"$COTY I am shocked this sleeping giant is not $8 yet. Kim and Kylie got so much milk. hold your shares just like leaches and keeping sucking, we’ll be fat babies. $10 now is still steal price.",2021-01-11T20:29:04Z,593,{'basic': 'Bullish'}
"Oh wow this is big! $COTY in -4.46% Downtrend, declining for three consecutive days on December 29, 2020. View odds for this and other indicators: https://srnk.us/go/2453530",2021-01-11T19:46:02Z,0,
$COTY what’s wrong with this French bitch,2021-01-11T18:06:09Z,3773,{'basic': 'Bullish'}
"$COTY Today marks the 3rd time we have bounced off of the 23.6% retracement.  The other two times found resistance at the top of the triangle.  Also, the MACD just crossed.  I believe we will lift off this week.",2021-01-11T17:58:46Z,132,{'basic': 'Bullish'}
loved my $COTY stocks but it’s just way too stagnant. Ended up selling half my shares and buying PLTR at a $24.84 average. So far it’s been a good choice,2021-01-11T17:30:15Z,379,
$COTY Only red in my 12 stock portfolio. Ugh,2021-01-11T16:07:35Z,278,{'basic': 'Bullish'}
$COTY GD Coty is my only holding down today. You would think I would be happy but I own a ton of this POS and bought a lot more about ten days ago because of insider buying. My whole portfolio is down because of it. I remember early last year when insiders bought and the POS tanked big time anyway. Should have learned. History repeats. This company pissed away a possible turnaround by giving the whores ( Kartrashians) pretty much of all the company’s value.,2021-01-11T15:43:51Z,2018,
$COTY It&#39;s definitely trying to recover.,2021-01-11T15:33:23Z,332,{'basic': 'Bullish'}
$COTY disappointed with this price action. Hopefully ER will clear this up,2021-01-11T15:29:26Z,2165,{'basic': 'Bullish'}
$COTY I still think the KarTRASHian whores were a bad idea and this is the result. It doesn’t get better from here unfortunately,2021-01-11T14:52:57Z,2018,
$COTY in 2021 every day is a fucking down day for COTY,2021-01-11T14:49:59Z,2018,
