Created,Three Difference,One Difference,Stock
2020-11-18,2.5102980041503855,-0.7585256195068375,PLUG
2020-11-19,2.264250488281249,-1.9258415985107433,PLUG
2020-11-20,2.7650118255615226,-1.6509904479980477,PLUG
2020-11-23,2.9429293823242197,-1.1799992370605459,PLUG
2020-11-24,5.047790859985351,1.1185077178955076,PLUG
2020-11-25,5.492624130249027,1.4064386749267612,PLUG
2020-11-27,4.935556793212889,0.09970893859863139,PLUG
2020-11-30,5.135172119140623,-0.7749269104003922,PLUG
2020-12-01,4.442449417114258,-1.6552487945556642,PLUG
2020-12-02,2.4063352966308607,-4.471638259887694,PLUG
2020-12-08,2.267417935180667,-4.522289248657227,PLUG
2020-12-11,7.066217651367186,0.601408233642573,PLUG
2020-12-14,4.728752478027342,-1.1909004608154312,PLUG
2020-12-16,4.106930923461913,-2.0854633331298835,PLUG
2020-12-17,6.946345291137696,0.8611611938476571,PLUG
2020-12-18,8.951800384521484,2.0026655578613273,PLUG
2020-12-22,8.983825683593754,1.5289592742919922,PLUG
2020-12-24,13.029865188598635,5.845100326538088,PLUG
2020-12-28,12.460145675659177,4.524928771972654,PLUG
2020-12-29,10.408400427246093,0.02125061645507742,PLUG
2020-12-30,8.25041313171387,-3.0185935974121065,PLUG
2020-12-31,9.798590621948243,-2.633627929687499,PLUG
2021-01-04,9.540195388793947,-4.0458889770507795,PLUG
2021-01-05,8.171214752197265,-5.108043975830078,PLUG
2021-01-06,8.557019042968747,-3.861445617675784,PLUG
2021-01-07,10.845624923706055,-1.2641639709472656,PLUG
2021-01-08,23.23604278564453,10.632115173339841,PLUG
2021-01-11,29.922650326538083,16.965743054199216,PLUG
2021-01-12,29.719114990234374,15.843733520507811,PLUG
2021-01-13,41.366136093139644,24.418612976074215,PLUG
2021-01-14,43.704350585937505,22.92008697509766,PLUG
2021-01-15,39.80929710388183,14.406589050292965,PLUG
2021-01-19,33.0919100189209,5.196713104248047,PLUG
2021-01-20,39.224784545898444,9.594493560791022,PLUG
2021-01-21,34.988572845458975,3.1355760192871074,PLUG
2021-01-22,36.12044326782227,4.264062805175783,PLUG
