Created,Three Difference,One Difference
2020-12-22,2.1896843719482426,0.8033032226562504
2020-12-23,1.5129290008544913,0.564629592895507
2020-12-24,2.0051416778564466,1.1702188873291028
2020-12-28,0.355513076782227,-0.08854438781738239
2020-12-29,-1.9355498504638682,-2.212214584350587
2020-12-30,-3.5782772064209,-3.6976963043212905
2020-12-31,-2.567142181396484,-3.1514698791503903
2021-01-04,-3.944525680541993,-4.562962493896485
2021-01-05,-3.065230120849609,-4.181402911376953
2021-01-06,-0.6859361267089845,-2.207599792480469
2021-01-07,-1.1058032226562453,-2.938448638916011
2021-01-08,0.1809234619140625,-1.3381671905517578
2021-01-11,0.5416919708251946,-0.7308357238769538
2021-01-12,1.265631637573243,-0.09945205688476477
2021-01-13,1.2591740417480466,-0.21144706726074247
2021-01-14,0.6487681579589797,-0.9107220458984422
2021-01-15,-0.48193916320800767,-1.9807794952392577
2021-01-19,-0.49076316833496136,-1.4079975891113286
2021-01-20,0.5460349273681651,-0.6059864807128896
2021-01-21,0.023508148193361222,-0.8358725738525372
2021-01-22,0.24434181213378992,-1.0105295562744132
